review,label,score,tokenized
세명의 여자주인공들 캐미 미쳣어요 ㅎㅎ,86 %,긍정,"['세명의', '여자', '캐미', '미쳣어요', 'ㅎㅎ']"
사회 부조리에 맞서는 그녀들 ! 너무 멋있다,98 %,긍정,"['사회', '부조리에', '맞서는', '그녀들', '!', '너무', '멋있']"
보기전엔 캐스팅보고 의아햇는데 보고나니 진짜 완벽햇다는 생각이 ㅎ,97 %,긍정,"['보기', '캐스팅보고', '의아햇는데', '보고', '진짜', '완벽햇다는', '생각', 'ㅎ']"
평점보고 본건데 저는 개인적으로 엄청 재밋진않았어요 ㅠㅠㅠ,71 %,부정,"['평점', '본건데', '저는', '개인적으로', '엄청', '재밋진않았어요', 'ㅠㅠ']"
ㅋㅋㅋ진짜 회사다녀본 사람들은 다 공감할만한 내용~! 결말까지 맘에듬,81 %,긍정,"['ㅋㅋ', '회사', '사람들', '다', '공감', '내용', '결말', '맘에듬']"
레트로감성 제대로 느껴지더만요 옛날이나 지금이나 직장 생활은 똑같네요,96 %,긍정,"['레트로', '제대로', '느껴지더만요', '옛날이나', '지금', '직장', '생활은', '똑같네요']"
아니 시간 남아서 아무 생각없이 본 영환데 개재밌게 봤어요ㅠㅠㅠ 이건 주위 사람들에게도 무조건 추천하고 싶음!!!,99 %,긍정,"['아니', '시간', '남아서', '아무', '생각', '본', '영환데', '개재밌게', '봤어요', '이건', '주위', '사람들', '무조건', '추천', '싶음!!!']"
이거 보는데 왜케 꽈배기가 먹고싶던지 ㅋㅋ,57 %,긍정,"['이거', '보는', '왜케', '꽈배기가', '먹고싶던지', 'ㅋㅋ']"
후.. 오늘부터 박혜수 팬이다,81 %,긍정,"['후..', '오늘', '박혜수', '팬이다']"
기분 좋아지고 힘나는 영화,89 %,긍정,"['기분', '좋아', '힘나는', '영화']"
저때 직장 생활 한 사람들은 더 공감될듯,78 %,긍정,"['저때', '직장', '생활', '한', '사람들', '더', '공감']"
아이캔두잇 유캔두잇 위캔두잇!!+_+,91 %,부정,"['아이캔두잇', '유캔두잇', '위캔두잇!!+_+']"
"현실감, 몰입감, 긴장감 다 있는 영화ㅋㅋ",98 %,긍정,"['현실', '몰입', '긴장감', '다', '있는', '영화']"
배우들 캐미 좋구요~  사회초년생들이 보면 심히 공감 될것 같아요~,81 %,긍정,"['배우', '캐미', '좋구요~', '사회', '보면', '심히', '공감', '될것', '같아요']"
"사람들의 니즈를 완벽히 파악한 영화,고작 여성들이 주체성을 회복하는 자체가 페미라고 생각하는 사람들은 어떤 세상을 살아온걸까? 그것이 제일 궁금하다 ^_^",56 %,부정,"['사람들', '니즈를', '완벽히', '파악한', '영화', '여성', '주체성을', '회복하는', '자체가', '페미', '생각', '사람들', '어떤', '세상', '살아온걸까?', '그것이', '제일', '궁금하다', '^_^']"
와 시간가는줄 몰랐어요 ㅋㅋ,94 %,긍정,"['와', '시간', '몰랐어요', 'ㅋㅋ']"
진심 올해 극장 개봉한 영화들 중 최고임,99 %,긍정,"['진심', '올해', '극장', '개봉', '영화', '중', '최고']"
"생각보가 재밋었지만 뭔가 결말부분에선 살짝 오그라드는 느낌이 들었습니다,,",95 %,긍정,"['생각', '재밋었지만', '뭔가', '결말', '살짝', '오그라', '느낌', '들었습니다,,']"
고아성은 정말.. 주인공의 얼굴을 가지고 있다. 용감한 사람들이 정의롭게 이기는 이야기.,75 %,부정,"['고아성', '정말', '주인공', '얼굴을', '가지고', '있다.', '용감한', '사람들', '정의롭게', '이기는', '이야기']"
리얼한 연출 리얼한 연기ㅋㅋ 굿재미,64 %,긍정,"['리얼한', '연출', '리얼한', '연기', '굿재미']"
세 배우의 캐릭터가 뚜렷해서 더 좋음 ㅋㅋ,97 %,긍정,"['세', '배우', '캐릭터', '뚜렷해서', '더', '좋음', 'ㅋㅋ']"
시원시원하게 잘봤어요! 뭔가 엄마한테 보여주고 싶은 영화입니다!,97 %,긍정,"['시원시원하게', '잘봤어요!', '뭔가', '엄마', '보여', '싶은', '영화']"
여자들의 회사생활에 공감 가는게 많네요... 안타까운현실도 있고..  그렇지만 밝고 씩씩한 영화라 재미있게봤어요.,76 %,긍정,"['여자', '회사', '공감', '가는게', '많네요...', '안타까운현실도', '있고', '그렇지만', '밝고', '씩씩한', '영화', '재미']"
뻔하지만 뻔하지 않은 영화ㅋㅋ 연기도 훌륭하고 음악도 좋네요,99 %,긍정,"['뻔하', '뻔하', '않은', '영화', '연기', '훌륭하고', '음악도', '좋네요']"
"웃음, 재미, 감동 다 잡았다!",98 %,긍정,"['웃음', '재미', '감동', '다', '잡았다!']"
배우들 옷 보는 재미도 쏠쏠하고 95년도면 내가 초딩땐데 지금이나 그때나 직장 생활은 다 똑같구나,53 %,부정,"['배우', '옷', '보는', '재미', '쏠쏠하고', '95년도면', '내가', '초딩땐데', '지금', '그때나', '직장', '생활은', '다', '똑같구나']"
오랜만에 참 괜찮은 영화,99 %,긍정,"['오랜만에', '참', '괜찮', '영화']"
일분일초 너무 흥미진진하고 재밌고!! 이건 입소문 제대로 탔으면 좋겠음!!,91 %,긍정,"['일분일초', '너무', '흥미진진하고', '재밌', '이건', '입소문', '제대로', '탔으면', '좋겠음!!']"
배우들 케미와 90년대 레트로 느낌이 좋았다,96 %,긍정,"['배우', '케미', '90년대', '레트로', '느낌', '좋았']"
왜 평점 높은지 모르겠어요제 취향 영화는 아니네요감동이 크지도 않았어요,92 %,부정,"['왜', '평점', '높은', '모르겠', '취향', '영화', '아니', '크지도', '않았']"
나도 저렇게 사회생활 하고싶다ㅎ,95 %,긍정,"['나도', '저렇게', '사회', '하고']"
"가뭄에 단 비 같다. 끔찍한 시체도 피도, 싸이코패스도 없다. 유쾌함과 지금 우리 시대가 가져야 하는 여성에 대한 시선만을 남겼다.",98 %,긍정,"['가뭄에', '단', '비', '같다.', '끔찍한', '시체도', '피도,', '싸이코패스도', '없다.', '유쾌', '지금', '우리', '시대', '가져야', '하는', '여성', '대한', '시선만을', '남겼다.']"
영화를 보고 어제보다 오늘 더 성장함....,93 %,긍정,"['영화', '보고', '어제보다', '오늘', '더', '성장함....']"
저도 여자회사원이라 와닿는 부분이 많았어요선배 커리어우먼들 덕분에 지금은 근무환경이 훨씬 좋아진것 같네요. 회사원으로서 내가 회사를 다니는 이유를 다시 생각하게끔 하는 영화였답니다.배우들 연기도 넘 좋았어요!^^,91 %,긍정,"['저도', '여자', '와닿는', '부분이', '많았어요선배', '커리어우먼들', '덕분에', '지금', '근무환경이', '훨씬', '좋아', '같네요.', '회사', '내가', '회사', '다니는', '이유를', '다시', '생각', '하는', '영화', '연기', '넘', '좋았어요']"
평점보고 기대했었는데 정말 실망이에요   ㅠㅠ,99 %,부정,"['평점', '기대', '정말', '실망', 'ㅠㅠ']"
명랑 영화!!+_+ 넘 좋아요 이런거,89 %,긍정,"['명랑', '영화', '넘', '좋아', '이런']"
"초중반까지는 90년대 풍경, 드라마 미생컨셉의 직장인이야기 등 재미있게 잘 보았습니다 그런데영화중반이후 너무 과도하게 정치적 좌파적인코드(평범한 사람을 못살게굴면서 이익을 탐하는 탐욕스러운기업주, 상고졸업한 뛰어난여...",97 %,긍정,"['초중반까지는', '90년대', '풍경,', '드라마', '미생컨셉의', '직장인이야기', '등', '재미', '잘', '보았습니다', '그런', '너무', '과도하게', '정치적', '좌파적인코드(평범한', '사람', '못살게굴면서', '이익을', '탐하는', '탐욕스러운기업주,', '상고졸업한', '뛰어난여...']"
하... 1도 재미없고 오그라드는 영화.. 전형적인 오그라드는 연출과 각본.. 알바들이 평점 다올려놨네 낚이지마세여,98 %,부정,"['하...', '1도', '재미', '오그라', '영화', '전형적인', '오그라', '연출', '각본..', '알바', '평점', '다올려놨네', '낚이지마세여']"
"뻔한 스토리, 비현실적 진행, 과도한 오버 연출, 돈아깝다.",98 %,부정,"['뻔한', '스토리', '비현실적', '진행,', '과도한', '오버', '연출', '돈아깝다.']"
재밌다가 감동 받다가 슬펏다가~ ㄷㅏ해 ㅎ,97 %,긍정,"['재밌', '감동', '받다가', '슬펏다가~', 'ㄷㅏ해', 'ㅎ']"
삼진그룹은 좋겠다~ 저런 직원들이 있어서^^,96 %,부정,"['삼진그룹은', '좋겠다~', '저런', '직원들이', '있어']"
안된다고 포기하기전에 실천합시다!,94 %,부정,"['안된다고', '포기하기전에', '실천합시다!']"
억지 웃음과 눈물이 아니여서 더 좋았던ㅎㅎㅎ,57 %,긍정,"['억지', '웃음', '눈물이', '아니', '더', '좋았']"
성공한 커리어우먼들~화이팅!,66 %,긍정,"['성공한', '커리어우먼들~화이팅!']"
이렇게 용감하고 귀여운 영화라니!,82 %,긍정,"['이렇게', '용감하고', '귀여운', '영화']"
진짜 개삼류영화를 평점. 이게 .9점대라고? 전세계적으로 창피한거다.,99 %,부정,"['진짜', '개삼류영화를', '평점', '이게', '.9점대라고?', '전세계적으로', '창피한거다.']"
"이솜,박혜수의 연기가 재밌었지만 돈내고 영화관에서 볼 영화는 아니다.. 보는 내내 웹툰 보는 느낌이 들었다. 영화끝나고 내려오는 엘리베이터에서는 관람객들이 유치하다는 얘기들만 하던데 평점이 왜이렇게 좋은지 이해가 안...",87 %,부정,"['이솜', '연기', '재밌', '돈내고', '영화', '볼', '영화', '아니', '보는', '내내', '웹툰', '보는', '느낌', '들었다.', '영화', '내려오는', '엘리베이터에서는', '관람', '유치', '얘기들만', '하던데', '평점', '왜이렇게', '좋은', '이해', '안...']"
솔직한 평가입니다. 좀 유치했어요 뻔한 스토리 에 펙트하나만 꽂아드린다면 영화 제목이 왜 삼진그룹 영어토익반인지 모르겠어요. 시사회로 보러가서 다행이지 돈주고 봤으면 정말 돈아까울 영화였습니다.,99 %,부정,"['솔직', '평가입니다.', '좀', '유치', '뻔한', '스토리', '에', '펙트하나만', '꽂아드린다면', '영화', '제목', '왜', '삼진그룹', '영어토익반인지', '모르겠', '시사', '보러', '다행이지', '돈주고', '봤으면', '정말', '돈아까울', '영화']"
"시사회로 저번 주에 봤는데 정말 좋았습니다 연기, 연출, ost 모두 좋았어요 고아성 이솜 박혜수 짱!",99 %,긍정,"['시사', '저번', '주에', '봤는데', '정말', '좋았습니다', '연기', '연출', 'ost', '모두', '좋았어요', '고아성', '이솜', '박혜수', '짱!']"
"이런식으로 여성서사를 다룬다는 것은, 오히려 조롱이 아닐까 생각된다. 조선에서는 서프러젠트, 라라랜드 같은 영화가 언제 나올 수 있을까....",90 %,부정,"['이런', '여성', '다룬다는', '것은,', '오히려', '조롱이', '아닐까', '생각', '조선에서는', '서프러젠트,', '라라랜드', '같은', '영화', '언제', '나올', '수', '있을까....']"
톡톡 튀는 캐릭터들 덕분에 더 재밌게 봤다+_+,97 %,긍정,"['톡톡', '튀는', '캐릭터', '덕분에', '더', '재밌', '봤다+_+']"
정말로 좋은 영화입니다. 재미있어요 :),92 %,긍정,"['정말', '좋은', '영화', '재미', ':)']"
정말 오랜만에 레트로감성.. 가을과 딱 어울리는 영화인듯!,95 %,긍정,"['정말', '오랜만에', '레트로', '가을과', '딱', '어울리는', '영화']"
전형적인 요소들이 분명 있었지만 그럼에도 소중한 영화,53 %,긍정,"['전형적인', '요소들이', '분명', '있었', '그럼에도', '소중한', '영화']"
오상무로 출연한 백현진씨 연기 짱입니다,51 %,긍정,"['오상무로', '출연한', '백현진씨', '연기', '짱입니다']"
3인방의 연기앙상블이 너무 좋다,99 %,긍정,"['3인방의', '연기', '너무', '좋다']"
뻔한 연출에 구도. 후반부는 신파떡칠대기업까고 우먼파워에 초점을 맞추니 평론가들은 고평점이네 치트키를 알아버린 감독의 혜안에 박수,92 %,부정,"['뻔한', '연출', '구도.', '후반부', '신파', '우먼파워에', '초점을', '맞추니', '평론가들은', '고평점이네', '치트키를', '알아버린', '감독의', '혜안에', '박수']"
어제의 너 보다 오늘 더 성장할 수 있는 하루를 보내길,98 %,긍정,"['어제의', '너', '보다', '오늘', '더', '성장할', '수', '있는', '하루를', '보내길']"
저번주 메가박스 코엑스 시시회 미리보고왔습니다.. 다들 어려운 시기에 하나가되어 열심히 공부하는 모습 보기좋았습니다.. 이영화처럼 코로나도 희망적으로 빨리 종식되었음 하는 바람입니다..,96 %,긍정,"['저번주', '메가박스', '코엑스', '시시회', '미리보고왔습니다..', '다들', '어려운', '시기에', '하나', '열심히', '공부하는', '모습', '보기', '이영화', '코로나', '희망적으로', '빨리', '종식되었음', '하는', '바람입니다..']"
세 배우를 비롯한 조연들의 탄탄한 연기+쫀쫀한 스토리+감동과 재미까지 완벽한 영화였어요! 도로띠의 “난 포기 안해!!ㅠㅠ” 할때 입모양이 넘 귀야웠던...! 마지막 엔딩크레딧도 팩게임 추억 소환 ㅋㅋ 완전기대하고 개...,97 %,긍정,"['세', '배우', '비롯한', '조연들의', '탄탄한', '연기', '스토리', '재미', '완벽한', '영화', '도로띠의', '“난', '포기', '안해!!ㅠㅠ”', '할때', '입모양이', '넘', '귀야웠던...!', '마지막', '엔딩크레딧도', '팩게임', '추억', '소환', 'ㅋㅋ', '완전', '개...']"
레트로 감성 가득한 영화였네요 좋았습니다,96 %,긍정,"['레트로', '감성', '가득한', '영화', '좋았습니다']"
주연 셋 조합 최고..고아성 최고..,53 %,긍정,"['주연', '셋', '조합', '최고', '최고']"
엄청나게 통쾌한 영화 ㅋㅋ 배우들의 연기와 스토리가 한몫 했다,98 %,긍정,"['엄청나게', '통쾌', '영화', 'ㅋㅋ', '배우', '연기', '스토리', '한몫', '했다']"
사람은 무엇으로 사는지 다시 생각하게 하는 영화,97 %,긍정,"['사람', '무엇으로', '사는지', '다시', '생각', '하는', '영화']"
사실 그냥...뭐 그냥 저냥 느낌이에요 킬링타임으론 괜츈,75 %,긍정,"['사실', '그냥', '그냥', '저냥', '느낌', '킬링타임으론', '괜츈']"
오랜만에 만족한 한국영화,98 %,긍정,"['오랜만에', '만족한', '한국영화']"
지굼 제가 하고 있는 일에 대해 생각해볼 수 있는 시간이였어요 배우들 연기가 너무 좋았구 고아성님 이쁘세용~,99 %,긍정,"['지굼', '제가', '하고', '있는', '일에', '대해', '생각', '수', '있는', '시간', '배우', '연기', '너무', '좋았', '고아성', '이쁘세용~']"
90년대 배경 영화인데 왜 공감이 가져?? ㅋㅋ 어제의 세상보다 오늘 더 성장하는 세상이 빨리 왔음 좋겠어요! 기분좋아지는 영화에요 ~^^,93 %,긍정,"['90년대', '배경', '영화', '왜', '공감', '가져??', 'ㅋㅋ', '어제의', '세상', '오늘', '더', '성장하는', '세상', '빨리', '왔음', '좋겠어요!', '기분', '영화', '~^^']"
이런 영화 너무 기다렸습니다!,65 %,긍정,"['이런', '영화', '너무', '기다렸습니다!']"
배우 스토리 연출 다 좋음 만족스러움 ㅎㅎ,97 %,긍정,"['배우', '스토리', '연출', '다', '좋음', '만족스러움', 'ㅎㅎ']"
정말 재밌게 봤어여 강추합니당,99 %,긍정,"['정말', '재밌', '봤어', '강추']"
캐릭터가 많아서 드라마로 나와도 재밌을 거 같음,97 %,긍정,"['캐릭터', '많아', '드라마로', '나와도', '재밌', '거', '같음']"
"간만에 너무 유치하지도 않은, 그렇다고 기분나쁘지도 않은 사랑스러운 작품을 본 것 같아요. 흥하세요!!!",99 %,긍정,"['간만에', '너무', '유치', '않은', '그렇다고', '기분', '않은', '사랑', '작품을', '본', '것', '같아요', '흥하세요!!!']"
즐겁고 다정한 영화. 그러나 그것 만이 아닌 영화.,94 %,긍정,"['즐겁고', '다정한', '영화', '그러나', '그것', '만이', '아닌', '영화']"
90년대 느낌 좋아하는분들에겐 볼만해요..중후반에 조금 과하게 늘어지는 느낌이 있지만 음악도 좋고 전체적으로 괜찮았네요,99 %,긍정,"['90년대', '느낌', '좋아하', '볼만', '조금', '과하게', '늘어지는', '느낌', '있지만', '음악도', '좋고', '전체적으로', '괜찮']"
재미있었어요! 나름 탄탄하고 눈에거슬리는 연기 연출 진행 등이 없었어요,90 %,긍정,"['재미', '나름', '탄탄하고', '눈에거슬리는', '연기', '연출', '진행', '등이', '없었']"
종합선물세트를 열어서 본 것 같은 기분 좋음ㅎㅎ,99 %,긍정,"['종합선물세트를', '열어서', '본', '것', '같은', '기분', '좋음ㅎㅎ']"
배우들의 케미 굳 언니들 멋지다~! 간만에 엄마랑 재미있게 보고왓습니다,99 %,긍정,"['배우', '케미', '굳', '언니들', '멋지다~!', '간만에', '엄마', '재미', '보고']"
왜 이렇게 잘만든겁니까,83 %,긍정,"['왜', '이렇게', '잘만든겁니까']"
"진짜 너무 별로였던 영화였다. 솔직히 내용도 별로였고, 내용은 둘째치더라도 연출이 쓰레기 그 이하다. 배우들만 불쌍해지는 연출, 무얼 말하고 싶은지도 모르겠고, 연관성 및 개연성도 없고, 갑자기 백인은 나쁜놈으로 묘...",99 %,부정,"['진짜', '너무', '별로', '영화', '솔직', '내용', '별로', '내용', '둘째치더라도', '연출', '쓰레기', '그', '이하다.', '배우', '불쌍해지는', '연출', '무얼', '말하고', '싶은', '모르겠', '연관성', '및', '개연성', '없고', '갑자기', '백인은', '나쁜놈으로', '묘...']"
나도 출근 하고 싶다...,63 %,긍정,"['나도', '출근', '하고', '싶다...']"
인생 최악의 영화쓸데없는 갈등조장에 개연성 제로설정도 말도 안되게 함. 보지마세요.,99 %,부정,"['인생', '최악의', '영화', '갈등조장에', '개연성', '제로설정도', '말도', '안되', '함.', '보지마세요.']"
1점도 아까움정말 재미없다,99 %,부정,"['1점도', '아까', '재미']"
재밌어요 고아성이솜박혜수 케미도좋아요,98 %,긍정,"['재밌', '고아성', '케미']"
오랜만에 한국영화 참 잘만들었다는 생각,99 %,긍정,"['오랜만에', '한국영화', '참', '잘만들었다는', '생각']"
별 생각없이 보러갔다가 반하고 나온 영화,98 %,긍정,"['별', '생각', '보러', '반하고', '나온', '영화']"
가볍게 보려했는데 가벼운 영화가 아니다,60 %,긍정,"['가볍', '보려했는데', '가벼운', '영화', '아니']"
개노잼 질질끌기 오그라듬 억지 감동 억지 해피엔딩이거 볼 시간에 못한 손톱 발톱 정리하는게 나을듯,99 %,부정,"['개노잼', '질질끌기', '오그라', '억지', '감동', '억지', '해피엔딩이거', '볼', '시간', '못한', '손톱', '발톱', '정리하는게', '나을듯']"
쓰레기는 쓰레기통에....,99 %,부정,"['쓰레기', '쓰레기']"
ㅋㅋㅋ 이거 평점 왜이리 높냐 유치함에 모자라 억지 연출까지. 10점 태러할 영화는 절대 아닌데,99 %,부정,"['ㅋㅋ', '이거', '평점', '왜이리', '높냐', '유치', '모자라', '억지', '연출', '10', '태러할', '영화', '절대', '아닌']"
인생 최악의 영화다 일차원보다 못한 연출에 나쁜반전 10번 좋은 반전 10번 다 쑤셔넣고 거기에 비지엠 때려 넣어서 이상한 놀람과 유쾌함 들어라고 강요하지만 불쾌함만 들었다.그냥 관람객 기만하는 느낌이었다,99 %,부정,"['인생', '최악의', '영화', '일차원보다', '못한', '연출', '나쁜반전', '10', '좋은', '반전', '10', '다', '쑤셔넣고', '거기에', '비지엠', '때려', '넣어서', '이상한', '놀람과', '유쾌', '들어라고', '강요하지만', '불쾌함만', '들었다.그냥', '관람', '기만하는', '느낌']"
코로나로 힘든데 이 영화보고 힘내세요!! 뭔가 마음이 따듯해져요ㅎ,55 %,긍정,"['코로나', '힘든데', '이', '영화', '힘내세요!!', '뭔가', '마음이', '따듯해져요ㅎ']"
재미있습니다  보세요 ㅎ,95 %,긍정,"['재미', '보세요', 'ㅎ']"
슬픈 장면이 아닌데도 자꾸만 울컥하게 되는 영화. 이런 영화가 더 많이 나왔으면 좋겠다.,98 %,긍정,"['슬픈', '장면', '아닌', '자꾸만', '울컥하게', '되는', '영화', '이런', '영화', '더', '많이', '나왔으면', '좋겠다.']"
안녕하세요 여러분 저는 이 영화를 개봉전에 시사회에 당첨되서 본 20대입니다. 왜 이렇게 이 영화를 홍보할까요??? 스토리에 자신이 있고 흥행이 보장된다면 그렇지 않았겠죠?? 이렇게 후기 좋고 재미있는 영화가 아닙니...,96 %,부정,"['안녕하세요', '여러분', '저는', '이', '영화', '개봉', '시사', '당첨되서', '본', '20', '왜', '이렇게', '이', '영화', '홍보할까요???', '스토리', '자신이', '있고', '흥행이', '보장된다면', '그렇지', '않았', '이렇게', '후기', '좋고', '재미', '영화', '아닙니...']"
"90년대 회사생활을 몰래 들여다 보는 느낌 가득, 유쾌한 스토리로 웃으며 기분좋게 나올 수 있는 영화였습니다",99 %,긍정,"['90년대', '회사', '몰래', '들여다', '보는', '느낌', '가득,', '유쾌', '스토리', '웃으며', '기분', '나올', '수', '있는', '영화']"
"예매할땐 만석,나올땐 공석,이걸 본 나는 어리석.",72 %,부정,"['예매할땐', '만석,나올땐', '공석,이걸', '본', '나는', '어리석.']"
개재밌었음 보람이 넘귀여움 ㅠㅠ,99 %,긍정,"['개재밌었음', '보람이', '넘귀여움', 'ㅠㅠ']"
올해본영화중에서 제일 재밌게봤어요 또보러가야지,99 %,긍정,"['올해', '제일', '재밌', '또보러가야지']"
너무너무 최고고 진짜 기대조금 했지만 생각보다 너무 재밌고 진짜로 반전의반전 ㅠㅠ110분이 다 러닝타임 근 1년동안 본영화중에 젤 재밌고 두 세번 봐도 안아까운영화 곧 또 보러  갈꺼에요 진짜 감동이도 울컥하는 부분...,99 %,긍정,"['너무', '최고', '진짜', '기대', '했지만', '생각', '너무', '재밌', '진짜', '반전', 'ㅠㅠ', '다', '러닝타임', '근', '1년동안', '본영화중에', '젤', '재밌', '두', '세번', '봐도', '안아까운영화', '곧', '또', '보러', '갈꺼에요', '진짜', '감동', '울컥하는', '부분...']"
잼있기는한데 스크린에서 보는건  아깝다는생각이 들더라고요ㅠㅠ,63 %,부정,"['잼있기는한데', '스크린에서', '보는', '아깝', '들더라고요ㅠㅠ']"
내가 하는 일이 의미있는 일이었음 한다!,64 %,긍정,"['내가', '하는', '일이', '의미있는', '일이었음', '한다!']"
실제 사건이라 무거울 수 있는 이야기를 똥꼬발랄하게 잘 풀어나간 것 같다. 초반에는 대사가 많은 텀이 긴 한 씬 한 씬이 굳이 필요한가 싶었지만 덕분에 캐릭터 한 사람 한 사람을 잘 이해하게 되는 효과를 준다고 생각...,97 %,긍정,"['실제', '사건이라', '무거울', '수', '있는', '이야기', '똥꼬발랄하게', '잘', '풀어', '것', '같다.', '초반에는', '대사', '많은', '텀이', '긴', '한', '씬', '한', '씬이', '굳이', '필요한가', '싶었지만', '덕분에', '캐릭터', '한', '사람', '한', '사람', '잘', '이해', '되는', '효과를', '준다고', '생각']"
시간이 남아돈다면 보러가는걸 추천 시간아까움 평점 2점정도는 주려고 했는데 말도 안되는 평점이라 기각.,99 %,부정,"['시간', '남아돈다면', '보러', '추천', '시간', '평점', '2점정도는', '주려고', '했는데', '말도', '안되', '평점', '기각.']"
생각보다 내용도 좋고 재미 있었어요~,98 %,긍정,"['생각', '내용', '좋고', '재미', '있었']"
"저번주 씨집회원시사로 봤는데, 절대 재밌는 영화 배우들도 그렇고 제목도 신기해서 갸우뚱 하면서 상영관을 입장했더랬지, 갸우뚱 한 내 목을 뽑아버리고 싶게 잼남.",85 %,부정,"['저번주', '씨집회원시사로', '봤는데', '절대', '재밌', '영화', '배우', '그렇고', '제목', '신기해서', '갸우뚱', '하면서', '상영관을', '입장했더랬지,', '갸우뚱', '한', '내', '목을', '뽑아버리고', '싶게', '잼남.']"
별로였습니다 보지마세요,99 %,부정,"['별로', '보지마세요']"
"재미없고, 지루하고, 루즈하고, 텐션없고, 반전없고, 감동없고, 감독이 담고 싶은건 많았는데 역량이 딸려서 영화가 산으로 간 느낌그래서 말하고 싶은게 뭔지 모르겠고.영화가 컨셉이 하나여야 하는데이것저것 담고 싶은게 ...",99 %,부정,"['재미', '지루', '루즈하고,', '텐션없고,', '반전', '감동', '감독이', '담고', '싶은', '많았는데', '역량이', '딸려서', '영화', '산으로', '간', '느낌', '말하고', '싶은', '뭔지', '모르겠', '컨셉이', '하나', '하는', '담고', '싶은', '..']"
유쾌하면서 감동적임 가볍지 않고 한장면 한장면 생각할 거리가 있는 촘촘한 영화,99 %,긍정,"['유쾌하', '감동', '가볍', '않고', '한장면', '한장면', '생각', '거리가', '있는', '촘촘한', '영화']"
연기 연출 스토리 모두 만족스러운 영화ㅋㅋㅋ 재밌네,99 %,긍정,"['연기', '연출', '스토리', '모두', '만족스러운', '영화', '재밌']"
너무나도 재밌게 잘 봤습니다!고아성+이솜+박혜수 배우님의연기 짱짱 인거 같고요! 대박 꿀잼 영화인데코로나 시국을 잘못 만나 아쉽네요 ㅠ,99 %,긍정,"['너무', '재밌', '잘', '봤습니다', '배우', '짱짱', '인거', '같고요!', '대박', '꿀잼', '영화', '시국을', '잘못', '만나', '아쉽네요', 'ㅠ']"
무거운 주제를 유쾌하게 풀어내서 좋았습니다~,95 %,긍정,"['무거운', '주제를', '유쾌하', '풀어', '좋았습니다']"
